VendorID,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,1,5.63,1,N,80,170,1,19,0.5,0.5,2.28,0,0.3,25.08,2.5
1,1,5.3,1,N,231,37,1,20,3,0.5,4.75,0,0.3,28.55,2.5
2,1,1.34,1,N,186,50,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,1,0.75,1,N,137,234,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,1,0,5,N,186,186,3,-2,0,0,0,0,-0.3,-4.8,-2.5
2,1,1.82,1,N,42,247,1,8,0.5,0.5,12.17,0,0.3,21.47,0
1,1,10.4,1,N,148,56,2,29.5,3,0.5,0,6.12,0.3,39.42,2.5
2,2,0.97,1,N,137,100,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,1,1.53,1,N,48,234,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5
2,2,1.05,1,N,234,230,1,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,1,9.31,1,N,68,96,1,34.5,0.5,0.5,2.22,6.12,0.3,48.59,2.5
1,1,1.7,1,N,97,189,2,8.5,0.5,0.5,0,0,0.3,9.8,0
1,1,5.8,1,N,186,255,1,19.5,3,0.5,6,0,0.3,29.3,2.5
2,1,6.82,1,N,114,17,1,23.5,0.5,0.5,6.82,0,0.3,34.12,2.5
2,3,0.65,1,N,79,79,1,4,0.5,0.5,1,0,0.3,8.8,2.5
2,4,0.81,1,N,170,100,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5
2,1,5.18,1,N,264,264,2,17,0.5,0.5,0,0,0.3,18.3,0
2,1,4.59,1,N,48,209,1,17,0.5,0.5,4.16,0,0.3,24.96,2.5
1,1,1.3,1,N,229,237,1,6.5,3,0.5,3,0,0.3,13.3,2.5
2,1,1.08,1,N,79,107,2,7,0.5,0.5,0,0,0.3,10.8,2.5
2,1,6.3,1,N,107,41,1,19.5,0.5,0.5,2,0,0.3,25.3,2.5
2,1,1.9,1,N,48,158,2,7,0.5,0.5,0,0,0.3,10.8,2.5
2,1,8.18,1,N,137,61,1,27,0.5,0.5,6.16,0,0.3,36.96,2.5
1,1,0.5,1,N,260,260,2,4.5,0.5,0.5,0,0,0.3,5.8,0
2,1,0.42,1,N,48,246,1,4,0.5,0.5,1.56,0,0.3,9.36,2.5
1,2,13.9,1,N,132,129,2,38.5,0.5,0.5,0,0,0.3,39.8,0
2,6,3.68,1,N,140,68,1,14,0.5,0.5,5,0,0.3,22.8,2.5
1,1,0.8,1,N,74,263,1,4.5,3,0.5,3,0,0.3,11.3,2.5
1,1,1.9,1,N,170,148,2,8.5,3,0.5,0,0,0.3,12.3,2.5
1,1,2.4,1,N,75,42,2,9,0.5,0.5,0,0,0.3,10.3,0
1,1,3.6,1,N,42,235,2,13.5,0.5,0.5,0,0,0.3,14.8,0
1,1,7.5,1,N,151,153,1,22.5,0.5,0.5,0,0,0.3,23.8,0
1,1,0.1,1,N,151,151,2,2.5,0.5,0.5,0,0,0.3,3.8,0
1,1,0.7,1,N,239,143,2,5,3,0.5,0,0,0.3,8.8,2.5
1,1,1.9,1,N,142,170,1,8,3,0.5,2.35,0,0.3,14.15,2.5
2,1,4.94,1,N,143,79,2,18.5,0.5,0.5,0,0,0.3,22.3,2.5
2,1,0.69,1,N,100,68,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,1,1.71,1,N,246,234,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
2,2,7.91,1,N,100,116,2,24.5,0.5,0.5,0,0,0.3,28.3,2.5
2,1,1.61,1,N,260,7,2,12.5,0.5,0.5,0,0,0.3,13.8,0
2,1,3.06,1,N,244,159,2,12,0.5,0.5,0,0,0.3,13.3,0
1,1,5.3,1,N,161,74,1,18,3,0.5,0,0,0.3,21.8,2.5
1,1,0.6,1,N,186,68,2,4,3,0.5,0,0,0.3,7.8,2.5
1,2,0.9,1,N,100,164,1,6,3,0.5,0,0,0.3,9.8,2.5
1,1,3.4,1,N,48,231,2,16.5,3,0.5,0,0,0.3,20.3,2.5
2,1,0.73,1,N,230,246,1,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,2,2.33,1,N,238,74,2,9.5,0.5,0.5,0,0,0.3,13.3,2.5
2,1,3.17,1,N,170,262,1,11,0.5,0.5,4.44,0,0.3,19.24,2.5
2,1,0.04,1,N,246,246,3,-2.5,-0.5,-0.5,0,0,-0.3,-6.3,-2.5
2,1,0.04,1,N,246,246,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,1,9.1,1,N,152,230,1,34,0.5,0.5,5,0,0.3,42.8,2.5
2,1,0.51,5,N,230,50,1,30,0,0,6.56,0,0.3,39.36,2.5
1,1,1.6,1,N,193,145,2,8,0.5,0.5,0,0,0.3,9.3,0
1,1,0,1,N,143,182,1,32.2,0,0.5,0,0,0.3,33,0
2,1,0.48,1,N,148,148,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
1,1,7.4,1,N,113,223,1,24.5,3,0.5,5.65,0,0.3,33.95,2.5
2,1,0.62,1,N,48,48,1,4,0.5,0.5,10,0,0.3,17.8,2.5
2,1,6.96,1,N,48,129,2,24,0.5,0.5,0,0,0.3,27.8,2.5
1,1,4.3,1,N,170,74,1,13.5,3,0.5,3.45,0,0.3,20.75,2.5
1,1,7.6,1,N,230,198,1,23,3,0.5,2,0,0.3,28.8,2.5
2,1,2.53,1,N,151,116,2,10,0.5,0.5,0,0,0.3,11.3,0
1,1,4.8,1,N,137,217,2,15.5,3,0.5,0,0,0.3,19.3,2.5
1,1,1.2,1,N,79,249,2,7.5,3,0.5,0,0,0.3,11.3,2.5
1,1,7.5,1,N,249,166,3,23.5,3,0.5,0,0,0.3,27.3,2.5
2,1,3.43,1,N,48,79,2,13,0.5,0.5,0,0,0.3,16.8,2.5
2,2,5.04,1,N,107,226,2,16.5,0.5,0.5,0,0,0.3,20.3,2.5
2,2,13.17,3,N,68,265,2,53.5,0.5,0,0,11.75,0.3,66.05,0
1,1,1.9,1,N,141,142,1,7.5,3,0.5,3,0,0.3,14.3,2.5
1,1,6.9,1,N,230,244,1,20.5,3,0.5,0,0,0.3,24.3,2.5
1,2,10.4,1,N,226,147,2,34.5,0.5,0.5,0,6.12,0.3,41.92,0
2,1,0.99,1,N,166,24,2,5.5,0.5,0.5,0,0,0.3,6.8,0
2,1,1.18,1,N,137,162,1,6,0.5,0.5,2,0,0.3,11.8,2.5
2,1,4.64,1,N,170,74,1,14.5,0.5,0.5,4,0,0.3,22.3,2.5
2,1,1.33,1,N,74,75,2,5.5,0.5,0.5,0,0,0.3,6.8,0
2,2,10.45,1,N,186,129,1,32.5,0.5,0.5,7.26,0,0.3,43.56,2.5
2,1,8.48,1,N,142,247,2,26,0.5,0.5,0,0,0.3,29.8,2.5
2,1,2.61,1,N,144,170,2,10,0.5,0.5,0,0,0.3,13.8,2.5
2,1,3.84,1,N,71,17,2,14,0.5,0.5,0,0,0.3,15.3,0
2,1,0,5,N,264,264,1,15.3,0,0,1,0,0.3,16.6,0
1,1,0,1,N,231,261,1,10.2,3,0.5,0,0,0.3,14,2.5
1,1,3,1,N,231,231,2,2.5,3,0.5,0,0,0.3,6.3,2.5
1,1,1.4,1,N,230,90,1,6,3,0.5,1.95,0,0.3,11.75,2.5
1,1,1.3,1,N,48,246,1,6.5,3,0.5,5,0,0.3,15.3,2.5
1,1,0,1,N,61,55,1,39.33,0,0.5,0,0,0.3,40.13,0
2,1,3.56,1,N,144,80,1,12,0.5,0.5,3.16,0,0.3,18.96,2.5
2,1,1.29,1,N,237,161,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,2,1.8,1,N,75,42,2,8.5,0.5,0.5,0,0,0.3,9.8,0
2,2,0,1,N,42,42,2,2.5,0.5,0.5,0,0,0.3,3.8,0
1,1,0,1,N,34,127,1,39.2,0,0.5,0,0,0.3,40,0
2,1,1.32,1,N,129,7,2,7,0.5,0.5,0,0,0.3,8.3,0
1,1,1.2,1,N,164,234,1,6.5,3,0.5,1,0,0.3,11.3,2.5
1,1,11.7,1,N,24,225,2,35.5,3,0.5,0,0,0.3,39.3,2.5
2,1,0,1,N,35,35,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,1,0,1,N,35,35,2,2.5,0.5,0.5,0,0,0.3,3.8,0
1,1,0,1,N,244,98,1,39.2,0,0.5,0,6.12,0.3,46.12,0
2,1,9.27,5,N,72,145,2,8,0,0.5,0,0,0.3,12.7,0
2,1,4.95,1,N,230,42,1,19,0.5,0.5,2,0,0.3,24.8,2.5
2,2,4.02,1,N,86,201,2,15.5,0.5,0.5,0,0,0.3,16.8,0
2,1,2.1,1,N,68,114,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5
1,1,2.5,1,N,264,264,2,11.5,0.5,0.5,0,0,0.3,12.8,0
1,1,2.6,1,N,100,114,1,13,3,0.5,3.35,0,0.3,20.15,2.5
1,1,9.1,1,N,148,74,2,27,3,0.5,0,0,0.3,30.8,2.5
1,1,1.6,1,N,74,42,2,8,0.5,0.5,0,0,0.3,9.3,0
2,4,3.27,1,N,148,181,1,12,0.5,0.5,3.16,0,0.3,18.96,2.5
1,1,7.9,1,N,45,260,2,24.5,3,0.5,0,0,0.3,28.3,2.5
2,1,7.89,1,N,68,168,2,25.5,0.5,0.5,0,0,0.3,29.3,2.5
1,1,2.2,1,N,144,186,2,10,3,0.5,0,0,0.3,13.8,2.5
2,2,0.9,1,N,159,168,2,5,0.5,0.5,0,0,0.3,6.3,0
1,1,8.3,1,N,107,166,1,25.5,3,0.5,2,0,0.3,31.3,2.5
2,1,5.99,1,N,79,74,1,17.5,0.5,0.5,1,0,0.3,22.3,2.5
1,1,5.5,1,N,90,24,2,17.5,3,0.5,0,0,0.3,21.3,2.5
2,1,0.77,1,N,24,238,2,5,0.5,0.5,0,0,0.3,6.3,0
2,1,3.73,1,N,137,232,2,13.5,0.5,0.5,0,0,0.3,17.3,2.5
2,1,4.98,1,N,90,151,2,15.5,0.5,0.5,0,0,0.3,19.3,2.5
2,1,7.78,1,N,163,243,1,23.5,0.5,0.5,5.46,0,0.3,32.76,2.5
2,2,5.15,1,N,254,167,2,17.5,0.5,0.5,0,0,0.3,18.8,0
1,1,6.4,1,N,74,145,2,19,3,0.5,0,0,0.3,22.8,2.5
2,6,1.2,1,N,41,238,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,1,11.59,1,N,137,241,2,32,0.5,0.5,0,0,0.3,35.8,2.5
2,1,1.9,1,N,100,249,2,11,0.5,0.5,0,0,0.3,14.8,2.5
1,1,0.8,1,N,144,231,2,5.5,3,0.5,0,0,0.3,9.3,2.5
1,1,6.6,1,N,231,263,1,20,3,0.5,4.75,0,0.3,28.55,2.5
1,1,1.6,1,N,263,74,2,7.5,3,0.5,0,0,0.3,11.3,2.5
2,1,1.86,1,N,170,114,4,-8,-0.5,-0.5,0,0,-0.3,-11.8,-2.5
2,1,1.86,1,N,170,114,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,1,0.84,1,N,230,100,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,2,2.48,1,N,234,229,1,10,0.5,0.5,4.14,0,0.3,17.94,2.5
2,2,0.8,1,N,48,161,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,2,7.02,1,N,234,36,1,24,0.5,0.5,8.34,0,0.3,36.14,2.5
2,1,6.71,1,N,48,129,1,28.5,0.5,0.5,6.46,0,0.3,38.76,2.5
2,3,0.35,1,N,75,263,2,3,0.5,0.5,0,0,0.3,4.3,0
2,1,0,1,N,68,265,1,2.5,0.5,0.5,60,0,0.3,63.8,0
1,1,5.7,1,N,229,129,2,21,3,0.5,0,0,0.3,24.8,2.5
